Date,AGG_exp_return,EEM_exp_return,IAU_exp_return,IEF_exp_return,IEV_exp_return,ITOT_exp_return,IYR_exp_return,SHY_exp_return,AGG_uncertainty,EEM_uncertainty,IAU_uncertainty,IEF_uncertainty,IEV_uncertainty,ITOT_uncertainty,IYR_uncertainty,SHY_uncertainty,AGG_mae,EEM_mae,IAU_mae,IEF_mae,IEV_mae,ITOT_mae,IYR_mae,SHY_mae
2012-09-18,0.03022172,0.07203718,0.095878825,0.041239455,0.03160584,0.032579366,0.038196508,0.016916275,0.006350078,0.006006233,0.0076464913,0.005392648,0.007829687,0.008428169,0.0035076032,0.0025877864,0.026042184,0.03773858,0.15805925,0.041889552,0.072620094,0.07246057,0.025686355,0.015956141
2012-09-19,0.03010822,0.072950125,0.09565171,0.04211189,0.032984603,0.03320745,0.03852127,0.016754085,0.0065951427,0.0064161858,0.007982016,0.0059681144,0.00880729,0.0090761185,0.0035982411,0.0027198829,0.02579475,0.039529905,0.16124988,0.04092701,0.0670833,0.07106436,0.026865887,0.015888683
2012-09-20,0.030384568,0.07358809,0.09621457,0.04229369,0.033722647,0.03399854,0.038838726,0.016833084,0.0068153176,0.0064220913,0.008175693,0.006192497,0.0088435095,0.008959401,0.0036465153,0.0028906742,0.025637032,0.040618762,0.1653682,0.040299352,0.06367974,0.07041239,0.029325845,0.015812945
2012-09-21,0.030573573,0.072610594,0.09579093,0.041715708,0.032646827,0.033121627,0.038489763,0.016932769,0.006618042,0.006248433,0.0076888367,0.0055956547,0.008363987,0.008831947,0.0034650424,0.0027948616,0.025558691,0.042837042,0.17020266,0.039488368,0.060047157,0.06880534,0.031097936,0.01577467
2012-09-24,0.030015338,0.073504515,0.09633353,0.04176154,0.033045433,0.03368675,0.038740564,0.016708886,0.0067530847,0.0062994817,0.007984004,0.0057726377,0.008414918,0.009200688,0.003684309,0.0028980027,0.02527947,0.045110192,0.1744472,0.038593896,0.057064854,0.06792051,0.034243457,0.01569798
2012-09-25,0.030096903,0.07342787,0.095949754,0.04202023,0.033409752,0.033683196,0.03875348,0.0167906,0.00684346,0.00655493,0.008048227,0.0059948065,0.008797757,0.009095364,0.0036280432,0.002844711,0.024915101,0.046013743,0.17680506,0.037856106,0.054532606,0.06775999,0.03887205,0.0156140905
2012-09-26,0.030103633,0.07363409,0.09654265,0.041860536,0.033373825,0.034168374,0.038827017,0.016894655,0.006626745,0.006497425,0.008051354,0.0060248757,0.008919685,0.009452124,0.0037381044,0.0027529409,0.024830772,0.04626767,0.17889816,0.03784696,0.053590044,0.06881461,0.04412312,0.015590508
2012-09-27,0.030129941,0.07273654,0.09583728,0.041580018,0.032351986,0.033158228,0.038398635,0.016845647,0.006432808,0.006225417,0.0076474915,0.0055985,0.008090975,0.008617203,0.0034629344,0.0026613728,0.024666462,0.0469712,0.18133141,0.037585802,0.052184593,0.06924439,0.048419084,0.015575297
2012-09-28,0.030254314,0.07282139,0.09567946,0.0418591,0.032662384,0.033278074,0.038570277,0.01688211,0.006686969,0.0061324635,0.008001331,0.005790682,0.008403581,0.008759551,0.0035539544,0.0027440987,0.024848068,0.04617283,0.18475716,0.037754405,0.054668263,0.071344905,0.053153668,0.015607907
2012-10-01,0.030134745,0.07224704,0.09596914,0.041753132,0.031792536,0.03240459,0.038102243,0.017086418,0.0062699863,0.0058564087,0.007807023,0.005607769,0.007814997,0.007953565,0.003185903,0.0025949867,0.024950888,0.04623106,0.1877797,0.037965506,0.05664334,0.073575795,0.058753807,0.015658308
