Date,DJIA,Open,High,Low,Vol.,Change %
2005/11/29,10888.16,10888.48,10959.79,10888.07,255.25M,-0.02%
2005/11/28,10890.72,10932.74,10951.93,10881.63,259.36M,-0.37%
2005/11/25,10931.62,10915.13,10955.48,10914.49,122.46M,0.14%
2005/11/23,10916.09,10871.43,10950.75,10855.34,236.73M,0.41%
2005/11/22,10871.43,10815.96,10877.43,10787.22,311.19M,0.47%
2005/11/21,10820.28,10766.33,10835.33,10761.05,250.28M,0.50%
2005/11/18,10766.33,10719.34,10796.26,10697.25,351.04M,0.43%
2005/11/17,10720.22,10677.00,10727.67,10665.55,274.32M,0.43%
2005/11/16,10674.76,10683.03,10712.22,10652.27,286.00M,-0.11%
2005/11/15,10686.44,10697.01,10741.99,10664.27,267.50M,-0.10%
2005/11/14,10697.17,10686.60,10710.06,10674.28,211.29M,0.10%
2005/11/11,10686.04,10641.30,10696.45,10637.43,195.88M,0.43%
2005/11/10,10640.10,10541.16,10655.53,10519.39,293.35M,0.89%
2005/11/09,10546.21,10539.24,10601.92,10519.55,244.43M,0.06%
2005/11/08,10539.72,10574.18,10574.22,10524.28,201.77M,-0.44%
2005/11/07,10586.23,10531.24,10593.35,10520.43,241.26M,0.53%
2005/11/04,10530.76,10523.23,10552.38,10479.39,230.87M,0.08%
2005/11/03,10522.59,10470.49,10561.16,10470.49,320.90M,0.48%
2005/11/02,10472.73,10406.29,10493.54,10388.76,279.71M,0.63%
2005/11/01,10406.77,10437.51,10455.28,10406.04,293.78M,-0.32%
2005/10/31,10440.07,10403.17,10486.65,10403.17,320.08M,0.36%
2005/10/28,10402.77,10231.15,10404.70,10231.15,283.06M,1.69%
2005/10/27,10229.95,10344.74,10349.22,10229.95,236.49M,-1.11%
2005/10/26,10344.98,10377.39,10434.47,10336.82,266.81M,-0.32%
2005/10/25,10377.87,10383.88,10411.65,10316.88,246.96M,-0.07%
2005/10/24,10385.00,10216.11,10387.00,10216.11,263.69M,1.66%
2005/10/21,10215.22,10282.22,10350.98,10193.45,357.93M,-0.64%
